본번,부번,아파트명,전용면적,층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,부동산유형,분양형태,k-관리방식,k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사,k-시행사,k-사용검사일-사용승인일,k-연면적,k-주거전용면적,k-관리비부과면적,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과,k-등록일자,k-수정일자,경비비관리형태,세대전기계약방법,청소비관리형태,건축면적,주차대수,단지승인일,좌표X,좌표Y,단지신청일,target,구,동,계약날짜
725.0,0.0,풍림,59.94,20,2001,섬밭로 139,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.065702114261,37.6302815782115,,29600.0,노원구,공릉동,2008-03-07
71.0,17.0,중앙하이츠,59.93,8,1998,잠원로3길 20,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.004772464321,37.5101763671853,,51000.0,서초구,잠원동,2012-02-06
397.0,0.0,미성2차,74.4,16,1987,압구정로 113,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.018445606778,37.5244043008813,,89000.0,강남구,압구정동,2008-08-18
843.0,0.0,삼성,84.96,6,1999,청구로1길 23,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.01844745293,37.5585358838305,,44500.0,중구,신당동,2012-04-17
995.0,0.0,한신4차,84.84,3,1995,동일로230길 ,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.059307359216,37.6722422958062,,31000.0,노원구,상계동,2008-05-23
913.0,0.0,헬리오시티,59.96,10,2018,송파대로 345,, ,-,아파트,unknown,위탁관리,혼합식,지역난방,84.0,9510.0,"현대건설,삼성물산,현대산업개발",가락시영아파트주택재건축정비사업조합,2018-12-28 00:00:00.0,971190.0,734781.0,969877.0,2854.0,5132.0,1500.0,,2019-01-03 07:03:23.0,2023-09-20 22:07:41.0,위탁,종합계약,위탁,61631.59,12096.0,2019-01-04 15:32:37.0,127.10249742,37.497609869,2019-01-03 07:03:23.0,179000.0,송파구,가락동,2021-05-14
609.0,1.0,한진,59.58,17,1998,성북로4길 52,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.012706037821,37.5944725333435,,36000.0,성북구,돈암동,2018-05-28
528.0,0.0,옥수파크힐스101동~116동,84.51,2,2016,매봉길 50,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.01218936757,37.5472989077685,,138000.0,성동구,옥수동,2019-12-09
1281.0,0.0,한일유앤아이,114.722,20,2006,가마산로 87,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.876157009657,37.4858484455147,,51400.0,구로구,구로동,2018-07-21
731.0,0.0,한솔마을,84.73,5,1994,광평로10길 6,, ,-,아파트,분양,자치관리,계단식,지역난방,19.0,570.0,"(주)건영,삼익주택,라이프주택","건영종합건설, 삼익주택,라이프주택",1994-06-03 00:00:00.0,66076.0,45360.0,54686.0,0.0,570.0,0.0,,,2023-09-21 12:38:32.0,직영,단일계약,위탁,54685.9,459.0,2013-06-23 14:24:23.0,127.0767604,37.4819987,2013-03-07 09:46:30.0,200000.0,강남구,일원동,2020-12-27
404.0,0.0,한가람,114.96,7,1998,이촌로65길 8,, ,-,아파트,분양,자치관리,혼합식,지역난방,19.0,2036.0,건영,동부이촌동 공무원아파트 A지구 재건축조합,1998-09-18 00:00:00.0,271619.0,165717.0,218984.0,895.0,632.0,509.0,,,2023-09-26 05:38:51.0,위탁,단일계약,위탁,0.0,2173.0,2017-10-10 11:50:02.0,126.9735558,37.5213784,2013-03-07 09:47:04.0,130000.0,용산구,이촌동,2017-08-09
23.0,0.0,한신플러스C,114.97,17,2004,동소문로15길 99,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.013812414551,37.5956037841839,,57000.0,성북구,동소문동7가,2009-06-19
987.0,1.0,신월시영,50.67,5,1988,신월로 99,, ,-,아파트,분양,위탁관리,복도식,지역난방,20.0,2256.0,SH공사,SH공사,1988-04-30 00:00:00.0,161114.0,113035.0,155872.0,2256.0,0.0,0.0,,,2023-09-25 12:49:17.0,위탁,종합계약,위탁,14618.59,1.0,2013-04-26 18:13:02.0,126.8359615,37.5176143,2013-03-07 09:46:42.0,22500.0,양천구,신월동,2008-11-10
1063.0,0.0,상계현대3차,84.96,9,1999,수락산로 234,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.052648476813,37.6719288518576,,31000.0,노원구,상계동,2015-11-18
579.0,0.0,한진로즈힐,84.93,5,2004,양천로24가길 59,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.813838595328,37.5710607150986,,33700.0,강서구,방화동,2013-04-29
19.0,0.0,문정대우푸르지오2차,84.82,16,2001,송이로32길 37,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.127244307271,37.4869810920009,,54000.0,송파구,문정동,2017-04-17
647.0,0.0,영등포푸르지오,79.777,17,2002,도신로29길 28,, ,-,아파트,분양,위탁관리,계단식,개별난방,31.0,2462.0,대우건설,(주)넥서스건설,2002-05-31 00:00:00.0,307282.0,186888.0,257942.0,370.0,2092.0,0.0,,,2023-09-25 15:48:33.0,위탁,종합계약,위탁,0.0,2554.0,2019-07-10 10:53:45.0,126.9045485,37.5120598,2013-03-07 09:46:36.0,41000.0,영등포구,영등포동,2014-09-10
506.0,0.0,동아한가람1,84.38,13,1995,한가람로 446,,20230811,중개거래,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.115699114303,37.5364663628306,,110000.0,송파구,풍납동,2023-04-08
479.0,0.0,시영1,40.09,3,1980,송파대로 345,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.102531804188,37.4976145695004,,58900.0,송파구,가락동,2015-10-16
302.0,53.0,골든맨숀,93.42,2,1971,이촌로62길 14,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.968555541418,37.5207677216793,,44000.0,용산구,이촌동,2013-04-18
